Red,Green,Blue,Label
0.109803922,0.337254902,0.341176471,2
0.874509804,0.192156863,0.462745098,5
0.705882353,0.31372549,0.596078431,6
0.301960784,0.666666667,0.160784314,1
0.050980392,0.278431373,0.305882353,2
0.341176471,0.580392157,0,1
0.317647059,0.450980392,0.549019608,2
0.803921569,0.094117647,0.058823529,0
0.364705882,0.568627451,0.392156863,1
0.682352941,0.788235294,0.909803922,2
0,0.88627451,0.564705882,1
0.219607843,0.262745098,0.305882353,9
0.305882353,0.611764706,0.705882353,2
0.317647059,0.376470588,0.576470588,6
0.364705882,0.023529412,0.549019608,6
0.701960784,0.243137255,0.611764706,6
0.898039216,0.666666667,0.564705882,5
0.91372549,0.011764706,0.725490196,5
0.733333333,0.62745098,0.666666667,9
0.796078431,0.796078431,0.796078431,8
0,0.968627451,0.77254902,1
0.137254902,0.611764706,0.02745098,1
0.388235294,0.298039216,0.298039216,9
0.180392157,0.690196078,0.215686275,1
0.901960784,0.317647059,0.831372549,5
0.215686275,1,0.368627451,1
0.8,0.8,0.8,8
0.901960784,0.360784314,0.501960784,5
0.584313725,0.215686275,0.474509804,6
0.807843137,0.058823529,0.098039216,0
0.764705882,0.792156863,0.721568627,8
0.145098039,0.968627451,0.952941176,2
0.11372549,0.443137255,0.921568627,2
0.988235294,0.611764706,0.635294118,5
0.521568627,0.615686275,0.643137255,9
0.498039216,0.811764706,0.525490196,1
0.68627451,0.905882353,0.22745098,1
0.17254902,0.643137255,0.552941176,2
0.203921569,0.152941176,0.090196078,7
0.670588235,0.039215686,0.180392157,0
0.611764706,0.235294118,0.02745098,7
0.77254902,0.360784314,0.588235294,6
0.184313725,0.980392157,0.68627451,1
0.066666667,0.149019608,0.419607843,2
0.882352941,0.835294118,0.77254902,8
0.537254902,0.266666667,0.105882353,7
0.454901961,0.607843137,0.243137255,1
0.007843137,0.149019608,0.768627451,2
0.803921569,0.803921569,0.803921569,8
0.807843137,0.807843137,0.807843137,8
0.623529412,0.211764706,0.207843137,0
0.941176471,0.301960784,0.278431373,0
0.980392157,0.956862745,0.568627451,4
0.635294118,0.28627451,0.419607843,6
0.239215686,0.533333333,0.207843137,1
0.356862745,0.388235294,0.619607843,2
0.631372549,0.91372549,0.756862745,1
0.368627451,0.568627451,0.109803922,1
0.717647059,0.337254902,0.039215686,7
0.180392157,0.937254902,0.415686275,1
0.650980392,0.82745098,0.274509804,1
0.97254902,0.976470588,0.615686275,4
0.082352941,0.156862745,0.764705882,2
0.423529412,0.48627451,0.305882353,1
0.694117647,0.725490196,0.047058824,1
0.921568627,0.698039216,0.694117647,5
0.843137255,0.647058824,0.929411765,6
0.584313725,0.470588235,0.776470588,6
0.254901961,0.68627451,0.517647059,1
0.941176471,0.760784314,0.749019608,5
0.309803922,0.8,0.945098039,2
0.262745098,0.141176471,0.168627451,9
0.074509804,0.603921569,0.549019608,2
0.349019608,0.184313725,0.156862745,7
0.858823529,0.109803922,0.509803922,6
0.564705882,0.541176471,0.909803922,2
0.819607843,0.156862745,0.580392157,6
0.721568627,0.88627451,0.803921569,2
0.97254902,0.337254902,0.458823529,0
0.847058824,0.568627451,0.129411765,7
0.725490196,0.741176471,0.152941176,1
0.921568627,0.364705882,0.4,5
0.678431373,0,0.266666667,6
0.180392157,0.615686275,0.784313725,2
0.066666667,0.768627451,0.635294118,2
0.803921569,0.274509804,0.545098039,6
0.337254902,0.501960784,0.733333333,2
0.6,0.054901961,0.890196078,6
0.156862745,0.674509804,0.749019608,2
0.960784314,0.949019608,0.219607843,4
0.156862745,0.203921569,0.901960784,2
0.462745098,0.623529412,0.517647059,1
0.68627451,0.88627451,0.02745098,1
0.552941176,0.839215686,0.639215686,1
0.596078431,0.450980392,0.345098039,7
0.823529412,0.576470588,0.525490196,5
